Disparity of Point  9482 =  (1063, 127) = 28
Disparity of Point  23238 =  (882, 265) = 32
Disparity of Point  23241 =  (884, 265) = 32
Disparity of Point  23242 =  (884, 265) = 32
Disparity of Point  23243 =  (885, 265) = 32
Disparity of Point  23244 =  (885, 265) = 32
Disparity of Point  23245 =  (886, 265) = 32
Disparity of Point  23246 =  (886, 265) = 32
Disparity of Point  23262 =  (938, 265) = 33
Disparity of Point  23263 =  (938, 265) = 33
Disparity of Point  23264 =  (939, 265) = 33
Disparity of Point  23265 =  (939, 265) = 33
Disparity of Point  23278 =  (958, 265) = 34
Disparity of Point  23279 =  (958, 265) = 34
Disparity of Point  23286 =  (302, 266) = 30
Disparity of Point  23287 =  (318, 266) = 30
Disparity of Point  23288 =  (320, 266) = 30
Disparity of Point  23289 =  (320, 266) = 30
Disparity of Point  23311 =  (373, 266) = 30
Disparity of Point  23312 =  (373, 266) = 30
Disparity of Point  23319 =  (392, 266) = 30
Disparity of Point  23320 =  (392, 266) = 30
Disparity of Point  23321 =  (393, 266) = 30
Disparity of Point  23334 =  (610, 266) = 30
Disparity of Point  23335 =  (610, 266) = 30
Disparity of Point  23336 =  (612, 266) = 30
Disparity of Point  23337 =  (612, 266) = 30
Disparity of Point  23338 =  (696, 266) = 30
Disparity of Point  23339 =  (696, 266) = 30
Disparity of Point  23342 =  (702, 266) = 31
Disparity of Point  23343 =  (702, 266) = 31
Disparity of Point  23344 =  (706, 266) = 31
Disparity of Point  23345 =  (707, 266) = 31
Disparity of Point  23346 =  (707, 266) = 31
Disparity of Point  23359 =  (899, 266) = 33
Disparity of Point  23360 =  (899, 266) = 33
Disparity of Point  23395 =  (1215, 266) = 38
Disparity of Point  23396 =  (1215, 266) = 38
Disparity of Point  23402 =  (331, 267) = 30
Disparity of Point  23403 =  (331, 267) = 30
Disparity of Point  23421 =  (385, 267) = 30
Disparity of Point  23432 =  (437, 267) = 30
Disparity of Point  23433 =  (437, 267) = 30
Disparity of Point  23434 =  (438, 267) = 30
Disparity of Point  23435 =  (438, 267) = 30
Disparity of Point  23436 =  (439, 267) = 30
Disparity of Point  23437 =  (439, 267) = 30
Disparity of Point  23438 =  (450, 267) = 30
Disparity of Point  23439 =  (450, 267) = 30
Disparity of Point  23450 =  (484, 267) = 30
Disparity of Point  23451 =  (484, 267) = 30
Disparity of Point  23452 =  (490, 267) = 30
Disparity of Point  23453 =  (495, 267) = 30
Disparity of Point  23454 =  (495, 267) = 30
Disparity of Point  23460 =  (514, 267) = 30
Disparity of Point  23462 =  (521, 267) = 30
Disparity of Point  23484 =  (701, 267) = 31
Disparity of Point  23485 =  (701, 267) = 31
Disparity of Point  23486 =  (701, 267) = 31
Disparity of Point  23487 =  (704, 267) = 31
Disparity of Point  23490 =  (755, 267) = 32
Disparity of Point  23491 =  (755, 267) = 32
Disparity of Point  23494 =  (766, 267) = 32
Disparity of Point  23495 =  (766, 267) = 32
Disparity of Point  23496 =  (799, 267) = 32
Disparity of Point  23497 =  (799, 267) = 32
Disparity of Point  23498 =  (800, 267) = 32
Disparity of Point  23499 =  (800, 267) = 32
Disparity of Point  23500 =  (801, 267) = 32
Disparity of Point  23501 =  (801, 267) = 32
Disparity of Point  23502 =  (803, 267) = 32
Disparity of Point  23503 =  (803, 267) = 32
Disparity of Point  23504 =  (804, 267) = 32
Disparity of Point  23505 =  (804, 267) = 32
Disparity of Point  23510 =  (860, 267) = 32
Disparity of Point  23511 =  (860, 267) = 32
Disparity of Point  23512 =  (861, 267) = 32
Disparity of Point  23513 =  (861, 267) = 32
Disparity of Point  23525 =  (913, 267) = 33
Disparity of Point  23526 =  (913, 267) = 33
Disparity of Point  23532 =  (985, 267) = 35
Disparity of Point  23533 =  (985, 267) = 35
Disparity of Point  23538 =  (988, 267) = 35
Disparity of Point  23539 =  (988, 267) = 35
Disparity of Point  23540 =  (989, 267) = 35
Disparity of Point  23541 =  (989, 267) = 35
Disparity of Point  23548 =  (1219, 267) = 39
Disparity of Point  23549 =  (1219, 267) = 39
Disparity of Point  23570 =  (347, 268) = 30
Disparity of Point  23588 =  (392, 268) = 30
Disparity of Point  23607 =  (413, 268) = 30
Disparity of Point  23608 =  (413, 268) = 30
Disparity of Point  23609 =  (418, 268) = 30
Disparity of Point  23610 =  (418, 268) = 30
Disparity of Point  23623 =  (496, 268) = 31
Disparity of Point  23624 =  (497, 268) = 31
Disparity of Point  23632 =  (691, 268) = 31
Disparity of Point  23633 =  (691, 268) = 31
Disparity of Point  23636 =  (718, 268) = 32
Disparity of Point  23637 =  (718, 268) = 32
Disparity of Point  23638 =  (719, 268) = 32
Disparity of Point  23639 =  (719, 268) = 32
Disparity of Point  23640 =  (719, 268) = 32
Disparity of Point  23641 =  (721, 268) = 32
Disparity of Point  23642 =  (721, 268) = 32
Disparity of Point  23643 =  (739, 268) = 32
Disparity of Point  23644 =  (739, 268) = 32
Disparity of Point  23647 =  (761, 268) = 32
Disparity of Point  23656 =  (817, 268) = 32
Disparity of Point  23657 =  (817, 268) = 32
Disparity of Point  23662 =  (851, 268) = 33
Disparity of Point  23663 =  (851, 268) = 33
Disparity of Point  23670 =  (864, 268) = 33
Disparity of Point  23671 =  (864, 268) = 33
Disparity of Point  23674 =  (866, 268) = 33
Disparity of Point  23675 =  (866, 268) = 33
Disparity of Point  23676 =  (867, 268) = 33
Disparity of Point  23677 =  (867, 268) = 33
Disparity of Point  23678 =  (868, 268) = 33
Disparity of Point  23679 =  (868, 268) = 33
Disparity of Point  23680 =  (870, 268) = 33
Disparity of Point  23681 =  (870, 268) = 33
Disparity of Point  23682 =  (871, 268) = 33
Disparity of Point  23683 =  (871, 268) = 33
Disparity of Point  23684 =  (872, 268) = 33
Disparity of Point  23685 =  (872, 268) = 33
Disparity of Point  23692 =  (911, 268) = 34
Disparity of Point  23693 =  (911, 268) = 34
Disparity of Point  23694 =  (991, 268) = 35
Disparity of Point  23695 =  (991, 268) = 35
Disparity of Point  23696 =  (992, 268) = 35
Disparity of Point  23697 =  (992, 268) = 35
Disparity of Point  23726 =  (371, 269) = 31
Disparity of Point  23727 =  (371, 269) = 31
Disparity of Point  23730 =  (388, 269) = 31
Disparity of Point  23731 =  (389, 269) = 31
Disparity of Point  23732 =  (389, 269) = 31
Disparity of Point  23733 =  (390, 269) = 31
Disparity of Point  23734 =  (390, 269) = 31
Disparity of Point  23758 =  (465, 269) = 31
Disparity of Point  23759 =  (465, 269) = 31
Disparity of Point  23762 =  (512, 269) = 31
Disparity of Point  23763 =  (512, 269) = 31
Disparity of Point  23764 =  (513, 269) = 31
Disparity of Point  23765 =  (514, 269) = 31
Disparity of Point  23766 =  (514, 269) = 31
Disparity of Point  23767 =  (515, 269) = 31
Disparity of Point  23768 =  (515, 269) = 31
Disparity of Point  23769 =  (516, 269) = 31
Disparity of Point  23770 =  (516, 269) = 31
Disparity of Point  23771 =  (517, 269) = 31
Disparity of Point  23772 =  (517, 269) = 31
Disparity of Point  23773 =  (518, 269) = 31
Disparity of Point  23774 =  (518, 269) = 31
Disparity of Point  23775 =  (527, 269) = 31
Disparity of Point  23778 =  (606, 269) = 31
Disparity of Point  23780 =  (613, 269) = 31
Disparity of Point  23781 =  (613, 269) = 31
Disparity of Point  23782 =  (615, 269) = 31
Disparity of Point  23783 =  (615, 269) = 31
Disparity of Point  23791 =  (677, 269) = 31
Disparity of Point  23792 =  (692, 269) = 31
Disparity of Point  23793 =  (700, 269) = 31
Disparity of Point  23795 =  (703, 269) = 32
Disparity of Point  23796 =  (741, 269) = 32
Disparity of Point  23797 =  (741, 269) = 32
Disparity of Point  23798 =  (747, 269) = 32
Disparity of Point  23799 =  (747, 269) = 32
Disparity of Point  23801 =  (762, 269) = 32
Disparity of Point  23802 =  (762, 269) = 32
Disparity of Point  23803 =  (763, 269) = 32
Disparity of Point  23804 =  (763, 269) = 32
Disparity of Point  23805 =  (764, 269) = 32
Disparity of Point  23808 =  (842, 269) = 33
Disparity of Point  23809 =  (842, 269) = 33
Disparity of Point  23810 =  (843, 269) = 33
Disparity of Point  23811 =  (843, 269) = 33
Disparity of Point  23812 =  (844, 269) = 33
Disparity of Point  23813 =  (845, 269) = 33
Disparity of Point  23814 =  (845, 269) = 33
Disparity of Point  23815 =  (846, 269) = 33
Disparity of Point  23816 =  (846, 269) = 33
Disparity of Point  23817 =  (847, 269) = 33
Disparity of Point  23818 =  (847, 269) = 33
Disparity of Point  23819 =  (848, 269) = 33
Disparity of Point  23820 =  (848, 269) = 33
Disparity of Point  23823 =  (913, 269) = 34
Disparity of Point  23824 =  (913, 269) = 34
Disparity of Point  23831 =  (917, 269) = 34
Disparity of Point  23832 =  (917, 269) = 34
Disparity of Point  23835 =  (289, 270) = 31
Disparity of Point  23836 =  (289, 270) = 31
Disparity of Point  23867 =  (382, 270) = 31
Disparity of Point  23868 =  (383, 270) = 31
Disparity of Point  23869 =  (383, 270) = 31
Disparity of Point  23871 =  (391, 270) = 31
Disparity of Point  23872 =  (391, 270) = 31
Disparity of Point  23881 =  (428, 270) = 31
Disparity of Point  23890 =  (437, 270) = 31
Disparity of Point  23891 =  (437, 270) = 31
Disparity of Point  23892 =  (468, 270) = 31
Disparity of Point  23895 =  (493, 270) = 31
Disparity of Point  23896 =  (493, 270) = 31
Disparity of Point  23897 =  (499, 270) = 31
Disparity of Point  23902 =  (576, 270) = 31
Disparity of Point  23903 =  (576, 270) = 31
Disparity of Point  23904 =  (577, 270) = 31
Disparity of Point  23907 =  (605, 270) = 31
Disparity of Point  23908 =  (605, 270) = 31
Disparity of Point  23909 =  (606, 270) = 31
Disparity of Point  23913 =  (614, 270) = 31
Disparity of Point  23914 =  (614, 270) = 31
Disparity of Point  23915 =  (620, 270) = 31
Disparity of Point  23916 =  (621, 270) = 31
Disparity of Point  23917 =  (627, 270) = 31
Disparity of Point  23918 =  (627, 270) = 31
Disparity of Point  23919 =  (628, 270) = 31
Disparity of Point  23920 =  (628, 270) = 31
Disparity of Point  23930 =  (703, 270) = 32
Disparity of Point  23933 =  (756, 270) = 33
Disparity of Point  23934 =  (756, 270) = 33
Disparity of Point  23935 =  (757, 270) = 33
Disparity of Point  23936 =  (757, 270) = 33
Disparity of Point  23937 =  (773, 270) = 33
Disparity of Point  23938 =  (798, 270) = 33
Disparity of Point  23939 =  (798, 270) = 33
Disparity of Point  23940 =  (799, 270) = 33
Disparity of Point  23955 =  (869, 270) = 34
Disparity of Point  23956 =  (869, 270) = 34
Disparity of Point  23957 =  (870, 270) = 34
Disparity of Point  23978 =  (362, 271) = 31
Disparity of Point  23979 =  (362, 271) = 31
Disparity of Point  23980 =  (363, 271) = 31
Disparity of Point  23981 =  (373, 271) = 31
Disparity of Point  23982 =  (373, 271) = 31
Disparity of Point  23990 =  (414, 271) = 31
Disparity of Point  23991 =  (414, 271) = 31
Disparity of Point  24016 =  (638, 271) = 32
Disparity of Point  24017 =  (638, 271) = 32
Disparity of Point  24018 =  (639, 271) = 32
Disparity of Point  24019 =  (639, 271) = 32
Disparity of Point  24020 =  (640, 271) = 32
Disparity of Point  24021 =  (640, 271) = 32
Disparity of Point  24029 =  (694, 271) = 32
Disparity of Point  24030 =  (694, 271) = 32
Disparity of Point  24031 =  (695, 271) = 32
Disparity of Point  24036 =  (705, 271) = 32
Disparity of Point  24039 =  (755, 271) = 33
Disparity of Point  24040 =  (755, 271) = 33
Disparity of Point  24041 =  (758, 271) = 33
Disparity of Point  24042 =  (759, 271) = 33
Disparity of Point  24043 =  (772, 271) = 33
Disparity of Point  24044 =  (772, 271) = 33
Disparity of Point  24045 =  (797, 271) = 33
Disparity of Point  24046 =  (797, 271) = 33
Disparity of Point  24047 =  (799, 271) = 33
Disparity of Point  24048 =  (799, 271) = 33
Disparity of Point  24049 =  (801, 271) = 33
Disparity of Point  24050 =  (801, 271) = 33
Disparity of Point  24052 =  (804, 271) = 33
Disparity of Point  24053 =  (804, 271) = 33
Disparity of Point  24055 =  (285, 272) = 32
Disparity of Point  24056 =  (285, 272) = 32
Disparity of Point  24069 =  (335, 272) = 31
Disparity of Point  24070 =  (335, 272) = 31
Disparity of Point  24075 =  (365, 272) = 32
Disparity of Point  24083 =  (386, 272) = 32
Disparity of Point  24084 =  (386, 272) = 32
Disparity of Point  24099 =  (618, 272) = 32
Disparity of Point  24100 =  (618, 272) = 32
Disparity of Point  24101 =  (621, 272) = 32
Disparity of Point  24102 =  (665, 272) = 32
Disparity of Point  24106 =  (706, 272) = 33
Disparity of Point  24109 =  (717, 272) = 33
Disparity of Point  24113 =  (772, 272) = 33
Disparity of Point  24119 =  (864, 272) = 34
Disparity of Point  24120 =  (864, 272) = 34
Disparity of Point  24133 =  (874, 272) = 34
Disparity of Point  24134 =  (874, 272) = 34
Disparity of Point  24135 =  (875, 272) = 34
Disparity of Point  24136 =  (875, 272) = 34
Disparity of Point  24137 =  (876, 272) = 34
Disparity of Point  24138 =  (876, 272) = 34
Disparity of Point  24139 =  (877, 272) = 34
Disparity of Point  24140 =  (877, 272) = 34
Disparity of Point  24167 =  (342, 273) = 32
Disparity of Point  24168 =  (342, 273) = 32
Disparity of Point  24173 =  (376, 273) = 32
Disparity of Point  24174 =  (376, 273) = 32
Disparity of Point  24194 =  (452, 273) = 32
Disparity of Point  24195 =  (452, 273) = 32
Disparity of Point  24196 =  (453, 273) = 32
Disparity of Point  24197 =  (453, 273) = 32
Disparity of Point  24198 =  (463, 273) = 32
Disparity of Point  24199 =  (463, 273) = 32
Disparity of Point  24207 =  (512, 273) = 32
Disparity of Point  24208 =  (512, 273) = 32
Disparity of Point  24209 =  (514, 273) = 32
Disparity of Point  24210 =  (514, 273) = 32
Disparity of Point  24211 =  (515, 273) = 32
Disparity of Point  24214 =  (521, 273) = 32
Disparity of Point  24215 =  (521, 273) = 32
Disparity of Point  24218 =  (609, 273) = 32
Disparity of Point  24219 =  (609, 273) = 32
Disparity of Point  24220 =  (610, 273) = 32
Disparity of Point  24221 =  (610, 273) = 32
Disparity of Point  24222 =  (610, 273) = 32
Disparity of Point  24223 =  (614, 273) = 32
Disparity of Point  24224 =  (614, 273) = 32
Disparity of Point  24227 =  (618, 273) = 32
Disparity of Point  24228 =  (620, 273) = 32
Disparity of Point  24229 =  (621, 273) = 32
Disparity of Point  24235 =  (696, 273) = 32
Disparity of Point  24236 =  (706, 273) = 33
Disparity of Point  24237 =  (706, 273) = 33
Disparity of Point  24238 =  (707, 273) = 33
Disparity of Point  24242 =  (806, 273) = 34
Disparity of Point  24243 =  (806, 273) = 34
Disparity of Point  24248 =  (886, 273) = 35
Disparity of Point  24249 =  (886, 273) = 35
Disparity of Point  24251 =  (908, 273) = 35
Disparity of Point  24252 =  (909, 273) = 35
Disparity of Point  24253 =  (909, 273) = 35
Disparity of Point  24254 =  (910, 273) = 35
Disparity of Point  24255 =  (910, 273) = 35
Disparity of Point  24256 =  (911, 273) = 35
Disparity of Point  24257 =  (911, 273) = 35
Disparity of Point  24279 =  (296, 274) = 33
Disparity of Point  24280 =  (296, 274) = 33
Disparity of Point  24281 =  (297, 274) = 33
Disparity of Point  24282 =  (297, 274) = 33
Disparity of Point  24303 =  (375, 274) = 32
Disparity of Point  24304 =  (376, 274) = 32
Disparity of Point  24305 =  (388, 274) = 32
Disparity of Point  24308 =  (390, 274) = 32
Disparity of Point  24309 =  (395, 274) = 32
Disparity of Point  24310 =  (396, 274) = 32
Disparity of Point  24311 =  (396, 274) = 32
Disparity of Point  24315 =  (423, 274) = 32
Disparity of Point  24316 =  (423, 274) = 32
Disparity of Point  24317 =  (424, 274) = 32
Disparity of Point  24318 =  (424, 274) = 32
Disparity of Point  24335 =  (665, 274) = 33
Disparity of Point  24339 =  (697, 274) = 33
Disparity of Point  24340 =  (697, 274) = 33
Disparity of Point  24341 =  (698, 274) = 33
Disparity of Point  24342 =  (705, 274) = 33
Disparity of Point  24343 =  (705, 274) = 33
Disparity of Point  24344 =  (707, 274) = 33
Disparity of Point  24347 =  (720, 274) = 34
Disparity of Point  24348 =  (720, 274) = 34
Disparity of Point  24351 =  (798, 274) = 34
Disparity of Point  24353 =  (803, 274) = 34
Disparity of Point  24354 =  (803, 274) = 34
Disparity of Point  24355 =  (803, 274) = 34
Disparity of Point  24396 =  (360, 275) = 33
Disparity of Point  24397 =  (360, 275) = 33
Disparity of Point  24398 =  (361, 275) = 33
Disparity of Point  24406 =  (390, 275) = 33
Disparity of Point  24415 =  (431, 275) = 33
Disparity of Point  24423 =  (618, 275) = 33
Disparity of Point  24426 =  (620, 275) = 33
Disparity of Point  24427 =  (626, 275) = 33
Disparity of Point  24428 =  (626, 275) = 33
Disparity of Point  24433 =  (710, 275) = 34
Disparity of Point  24434 =  (721, 275) = 34
Disparity of Point  24435 =  (721, 275) = 34
Disparity of Point  24444 =  (881, 275) = 35
Disparity of Point  24445 =  (881, 275) = 35
Disparity of Point  24446 =  (882, 275) = 35
Disparity of Point  24447 =  (882, 275) = 35
Disparity of Point  24448 =  (883, 275) = 35
Disparity of Point  24449 =  (883, 275) = 35
Disparity of Point  24450 =  (884, 275) = 35
Disparity of Point  24462 =  (910, 275) = 36
Disparity of Point  24463 =  (910, 275) = 36
Disparity of Point  24466 =  (912, 275) = 36
Disparity of Point  24467 =  (912, 275) = 36
Disparity of Point  24468 =  (913, 275) = 36
Disparity of Point  24469 =  (913, 275) = 36
Disparity of Point  24470 =  (921, 275) = 36
Disparity of Point  24471 =  (969, 275) = 37
Disparity of Point  24472 =  (971, 275) = 37
Disparity of Point  24478 =  (280, 276) = 33
Disparity of Point  24479 =  (280, 276) = 33
Disparity of Point  24514 =  (376, 276) = 33
Disparity of Point  24515 =  (382, 276) = 33
Disparity of Point  24516 =  (382, 276) = 33
Disparity of Point  24531 =  (455, 276) = 33
Disparity of Point  24534 =  (457, 276) = 33
Disparity of Point  24535 =  (457, 276) = 33
Disparity of Point  24536 =  (470, 276) = 33
Disparity of Point  24537 =  (470, 276) = 33
Disparity of Point  24538 =  (471, 276) = 33
Disparity of Point  24539 =  (471, 276) = 33
Disparity of Point  24540 =  (485, 276) = 33
Disparity of Point  24541 =  (485, 276) = 33
Disparity of Point  24542 =  (486, 276) = 33
Disparity of Point  24543 =  (486, 276) = 33
Disparity of Point  24544 =  (494, 276) = 33
Disparity of Point  24545 =  (494, 276) = 33
Disparity of Point  24546 =  (495, 276) = 33
Disparity of Point  24547 =  (495, 276) = 33
Disparity of Point  24548 =  (496, 276) = 33
Disparity of Point  24549 =  (496, 276) = 33
Disparity of Point  24550 =  (497, 276) = 33
Disparity of Point  24551 =  (497, 276) = 33
Disparity of Point  24552 =  (498, 276) = 33
Disparity of Point  24553 =  (498, 276) = 33
Disparity of Point  24554 =  (499, 276) = 33
Disparity of Point  24555 =  (499, 276) = 33
Disparity of Point  24574 =  (668, 276) = 33
Disparity of Point  24575 =  (668, 276) = 33
Disparity of Point  24579 =  (694, 276) = 33
Disparity of Point  24580 =  (695, 276) = 33
Disparity of Point  24581 =  (695, 276) = 33
Disparity of Point  24582 =  (706, 276) = 33
Disparity of Point  24583 =  (706, 276) = 33
Disparity of Point  24584 =  (707, 276) = 33
Disparity of Point  24585 =  (707, 276) = 33
Disparity of Point  24586 =  (710, 276) = 34
Disparity of Point  24587 =  (722, 276) = 34
Disparity of Point  24594 =  (836, 276) = 35
Disparity of Point  24595 =  (836, 276) = 35
Disparity of Point  24596 =  (837, 276) = 35
Disparity of Point  24597 =  (837, 276) = 35
Disparity of Point  24609 =  (895, 276) = 36
Disparity of Point  24610 =  (895, 276) = 36
Disparity of Point  24613 =  (897, 276) = 36
Disparity of Point  24614 =  (897, 276) = 36
Disparity of Point  24617 =  (906, 276) = 36
Disparity of Point  24618 =  (906, 276) = 36
Disparity of Point  24619 =  (907, 276) = 36
Disparity of Point  24620 =  (907, 276) = 36
Disparity of Point  24626 =  (915, 276) = 36
Disparity of Point  24627 =  (915, 276) = 36
Disparity of Point  24635 =  (930, 276) = 37
Disparity of Point  24636 =  (930, 276) = 37
Disparity of Point  24639 =  (932, 276) = 37
Disparity of Point  24640 =  (974, 276) = 37
Disparity of Point  24641 =  (975, 276) = 37
Disparity of Point  24642 =  (975, 276) = 37
Disparity of Point  24643 =  (976, 276) = 37
Disparity of Point  24644 =  (976, 276) = 37
Disparity of Point  24645 =  (977, 276) = 37
Disparity of Point  24646 =  (977, 276) = 37
Disparity of Point  24647 =  (978, 276) = 37
Disparity of Point  24648 =  (978, 276) = 37
Disparity of Point  24651 =  (980, 276) = 37
Disparity of Point  24652 =  (980, 276) = 37
Disparity of Point  24653 =  (981, 276) = 37
Disparity of Point  24654 =  (981, 276) = 37
Disparity of Point  24655 =  (982, 276) = 37
Disparity of Point  24656 =  (982, 276) = 37
Disparity of Point  24659 =  (272, 277) = 33
Disparity of Point  24660 =  (272, 277) = 33
Disparity of Point  24690 =  (359, 277) = 33
Disparity of Point  24692 =  (380, 277) = 33
Disparity of Point  24693 =  (383, 277) = 33
Disparity of Point  24694 =  (383, 277) = 33
Disparity of Point  24695 =  (383, 277) = 33
Disparity of Point  24696 =  (384, 277) = 33
Disparity of Point  24701 =  (396, 277) = 33
Disparity of Point  24702 =  (396, 277) = 33
Disparity of Point  24709 =  (432, 277) = 33
Disparity of Point  24718 =  (467, 277) = 33
Disparity of Point  24719 =  (467, 277) = 33
Disparity of Point  24751 =  (724, 277) = 35
Disparity of Point  24752 =  (724, 277) = 35
Disparity of Point  24764 =  (910, 277) = 36
Disparity of Point  24765 =  (911, 277) = 36
Disparity of Point  24766 =  (911, 277) = 36
Disparity of Point  24771 =  (920, 277) = 37
Disparity of Point  24772 =  (920, 277) = 37
Disparity of Point  24773 =  (921, 277) = 37
Disparity of Point  24774 =  (921, 277) = 37
Disparity of Point  24775 =  (922, 277) = 37
Disparity of Point  24776 =  (922, 277) = 37
Disparity of Point  24777 =  (922, 277) = 37
Disparity of Point  24780 =  (969, 277) = 37
Disparity of Point  24789 =  (1004, 277) = 38
Disparity of Point  24790 =  (1004, 277) = 38
Disparity of Point  24791 =  (1005, 277) = 38
Disparity of Point  24792 =  (1005, 277) = 38
Disparity of Point  24793 =  (1006, 277) = 38
Disparity of Point  24794 =  (1006, 277) = 38
Disparity of Point  24861 =  (491, 278) = 34
Disparity of Point  24862 =  (491, 278) = 34
Disparity of Point  24863 =  (492, 278) = 34
Disparity of Point  24864 =  (492, 278) = 34
Disparity of Point  24868 =  (621, 278) = 34
Disparity of Point  24869 =  (621, 278) = 34
Disparity of Point  24874 =  (705, 278) = 34
Disparity of Point  24882 =  (837, 278) = 36
Disparity of Point  24883 =  (837, 278) = 36
Disparity of Point  24885 =  (883, 278) = 36
Disparity of Point  24886 =  (883, 278) = 36
Disparity of Point  24889 =  (885, 278) = 36
Disparity of Point  24890 =  (885, 278) = 36
Disparity of Point  24899 =  (907, 278) = 37
Disparity of Point  24900 =  (907, 278) = 37
Disparity of Point  24901 =  (908, 278) = 37
Disparity of Point  24905 =  (915, 278) = 37
Disparity of Point  24906 =  (915, 278) = 37
Disparity of Point  24907 =  (916, 278) = 37
Disparity of Point  24908 =  (916, 278) = 37
Disparity of Point  24911 =  (918, 278) = 37
Disparity of Point  24912 =  (918, 278) = 37
Disparity of Point  24913 =  (931, 278) = 37
Disparity of Point  24914 =  (931, 278) = 37
Disparity of Point  24917 =  (933, 278) = 37
Disparity of Point  24918 =  (933, 278) = 37
Disparity of Point  24927 =  (981, 278) = 38
Disparity of Point  24928 =  (1009, 278) = 38
Disparity of Point  24929 =  (1009, 278) = 38
Disparity of Point  24930 =  (1010, 278) = 38
Disparity of Point  24931 =  (1010, 278) = 38
Disparity of Point  24932 =  (1011, 278) = 38
Disparity of Point  24933 =  (1011, 278) = 38
Disparity of Point  24970 =  (371, 279) = 34
Disparity of Point  24972 =  (376, 279) = 34
Disparity of Point  24973 =  (376, 279) = 34
Disparity of Point  24977 =  (386, 279) = 34
Disparity of Point  24980 =  (419, 279) = 34
Disparity of Point  24981 =  (419, 279) = 34
Disparity of Point  24982 =  (420, 279) = 34
Disparity of Point  24983 =  (420, 279) = 34
Disparity of Point  24996 =  (450, 279) = 34
Disparity of Point  24997 =  (450, 279) = 34
Disparity of Point  24998 =  (473, 279) = 34
Disparity of Point  24999 =  (473, 279) = 34
Disparity of Point  25000 =  (507, 279) = 34
Disparity of Point  25001 =  (507, 279) = 34
Disparity of Point  25004 =  (615, 279) = 34
Disparity of Point  25005 =  (615, 279) = 34
Disparity of Point  25006 =  (619, 279) = 34
Disparity of Point  25007 =  (621, 279) = 34
Disparity of Point  25008 =  (621, 279) = 34
Disparity of Point  25009 =  (626, 279) = 34
Disparity of Point  25010 =  (626, 279) = 34
Disparity of Point  25016 =  (707, 279) = 34
Disparity of Point  25020 =  (715, 279) = 35
Disparity of Point  25023 =  (726, 279) = 35
Disparity of Point  25024 =  (789, 279) = 36
Disparity of Point  25025 =  (796, 279) = 36
Disparity of Point  25026 =  (797, 279) = 36
Disparity of Point  25027 =  (797, 279) = 36
Disparity of Point  25028 =  (798, 279) = 36
Disparity of Point  25029 =  (805, 279) = 36
Disparity of Point  25030 =  (805, 279) = 36
Disparity of Point  25031 =  (838, 279) = 36
Disparity of Point  25032 =  (957, 279) = 38
Disparity of Point  25033 =  (958, 279) = 38
Disparity of Point  25034 =  (958, 279) = 38
Disparity of Point  25035 =  (959, 279) = 38
Disparity of Point  25036 =  (959, 279) = 38
Disparity of Point  25037 =  (960, 279) = 38
Disparity of Point  25038 =  (960, 279) = 38
Disparity of Point  25039 =  (961, 279) = 38
Disparity of Point  25040 =  (961, 279) = 38
Disparity of Point  25041 =  (962, 279) = 38
Disparity of Point  25042 =  (962, 279) = 38
Disparity of Point  25043 =  (963, 279) = 38
Disparity of Point  25044 =  (963, 279) = 38
Disparity of Point  25047 =  (1018, 279) = 39
Disparity of Point  25048 =  (1018, 279) = 39
Disparity of Point  25070 =  (1204, 279) = 42
Disparity of Point  25071 =  (1204, 279) = 42
Disparity of Point  25076 =  (1207, 279) = 42
Disparity of Point  25102 =  (364, 280) = 34
Disparity of Point  25103 =  (364, 280) = 34
Disparity of Point  25105 =  (375, 280) = 34
Disparity of Point  25106 =  (375, 280) = 34
Disparity of Point  25110 =  (387, 280) = 34
Disparity of Point  25111 =  (387, 280) = 34
Disparity of Point  25128 =  (452, 280) = 35
Disparity of Point  25129 =  (452, 280) = 35
Disparity of Point  25146 =  (707, 280) = 35
Disparity of Point  25147 =  (707, 280) = 35
Disparity of Point  25151 =  (715, 280) = 35
Disparity of Point  25152 =  (716, 280) = 35
Disparity of Point  25157 =  (739, 280) = 36
Disparity of Point  25158 =  (739, 280) = 36
Disparity of Point  25160 =  (796, 280) = 36
Disparity of Point  25161 =  (796, 280) = 36
Disparity of Point  25166 =  (824, 280) = 36
Disparity of Point  25167 =  (824, 280) = 36
Disparity of Point  25168 =  (825, 280) = 36
Disparity of Point  25169 =  (825, 280) = 36
Disparity of Point  25170 =  (895, 280) = 37
Disparity of Point  25171 =  (895, 280) = 37
Disparity of Point  25174 =  (897, 280) = 37
Disparity of Point  25175 =  (897, 280) = 37
Disparity of Point  25176 =  (898, 280) = 37
Disparity of Point  25177 =  (898, 280) = 37
Disparity of Point  25185 =  (951, 280) = 38
Disparity of Point  25186 =  (951, 280) = 38
Disparity of Point  25187 =  (952, 280) = 38
Disparity of Point  25188 =  (952, 280) = 38
Disparity of Point  25191 =  (965, 280) = 38
Disparity of Point  25192 =  (965, 280) = 38
Disparity of Point  25193 =  (966, 280) = 38
Disparity of Point  25194 =  (966, 280) = 38
Disparity of Point  25197 =  (968, 280) = 38
Disparity of Point  25198 =  (968, 280) = 38
Disparity of Point  25199 =  (1009, 280) = 39
Disparity of Point  25200 =  (1010, 280) = 39
