Disparity of Point  10347 =  (1063, 127) = 28
Disparity of Point  22330 =  (591, 241) = 22
Disparity of Point  22331 =  (591, 241) = 22
Disparity of Point  22334 =  (593, 241) = 22
Disparity of Point  22335 =  (593, 241) = 22
Disparity of Point  22340 =  (608, 241) = 22
Disparity of Point  22341 =  (608, 241) = 22
Disparity of Point  22342 =  (610, 241) = 22
Disparity of Point  22343 =  (610, 241) = 22
Disparity of Point  22356 =  (739, 241) = 27
Disparity of Point  22357 =  (739, 241) = 27
Disparity of Point  22369 =  (1125, 241) = 29
Disparity of Point  22370 =  (1125, 241) = 29
Disparity of Point  22371 =  (1126, 241) = 29
Disparity of Point  22372 =  (1126, 241) = 29
Disparity of Point  22373 =  (1127, 241) = 29
Disparity of Point  22374 =  (1127, 241) = 29
Disparity of Point  22398 =  (501, 242) = 22
Disparity of Point  22399 =  (501, 242) = 22
Disparity of Point  22407 =  (608, 242) = 22
Disparity of Point  22408 =  (608, 242) = 22
Disparity of Point  22411 =  (665, 242) = 22
Disparity of Point  22415 =  (680, 242) = 23
Disparity of Point  22416 =  (680, 242) = 23
Disparity of Point  22419 =  (698, 242) = 25
Disparity of Point  22420 =  (700, 242) = 26
Disparity of Point  22421 =  (700, 242) = 26
Disparity of Point  22424 =  (761, 242) = 29
Disparity of Point  22425 =  (761, 242) = 29
Disparity of Point  22428 =  (839, 242) = 25
Disparity of Point  22429 =  (839, 242) = 25
Disparity of Point  22430 =  (850, 242) = 25
Disparity of Point  22431 =  (850, 242) = 25
Disparity of Point  22432 =  (851, 242) = 25
Disparity of Point  22433 =  (851, 242) = 25
Disparity of Point  22434 =  (852, 242) = 25
Disparity of Point  22435 =  (902, 242) = 26
Disparity of Point  22436 =  (902, 242) = 26
Disparity of Point  22445 =  (471, 243) = 22
Disparity of Point  22446 =  (471, 243) = 22
Disparity of Point  22447 =  (472, 243) = 22
Disparity of Point  22448 =  (472, 243) = 22
Disparity of Point  22449 =  (473, 243) = 22
Disparity of Point  22450 =  (473, 243) = 22
Disparity of Point  22451 =  (474, 243) = 22
Disparity of Point  22452 =  (488, 243) = 23
Disparity of Point  22453 =  (488, 243) = 23
Disparity of Point  22458 =  (491, 243) = 23
Disparity of Point  22459 =  (491, 243) = 23
Disparity of Point  22468 =  (508, 243) = 23
Disparity of Point  22469 =  (508, 243) = 23
Disparity of Point  22470 =  (509, 243) = 23
Disparity of Point  22471 =  (509, 243) = 23
Disparity of Point  22477 =  (572, 243) = 23
Disparity of Point  22478 =  (572, 243) = 23
Disparity of Point  22481 =  (681, 243) = 24
Disparity of Point  22482 =  (681, 243) = 24
Disparity of Point  22489 =  (704, 243) = 26
Disparity of Point  22492 =  (761, 243) = 29
Disparity of Point  22493 =  (761, 243) = 29
Disparity of Point  22498 =  (869, 243) = 26
Disparity of Point  22521 =  (480, 244) = 23
Disparity of Point  22522 =  (480, 244) = 23
Disparity of Point  22525 =  (482, 244) = 23
Disparity of Point  22526 =  (482, 244) = 23
Disparity of Point  22527 =  (483, 244) = 23
Disparity of Point  22530 =  (517, 244) = 23
Disparity of Point  22531 =  (517, 244) = 23
Disparity of Point  22532 =  (518, 244) = 23
Disparity of Point  22533 =  (518, 244) = 23
Disparity of Point  22534 =  (519, 244) = 23
Disparity of Point  22535 =  (519, 244) = 23
Disparity of Point  22536 =  (520, 244) = 23
Disparity of Point  22537 =  (520, 244) = 23
Disparity of Point  22538 =  (521, 244) = 23
Disparity of Point  22539 =  (521, 244) = 23
Disparity of Point  22540 =  (522, 244) = 23
Disparity of Point  22541 =  (522, 244) = 23
Disparity of Point  22542 =  (524, 244) = 23
Disparity of Point  22543 =  (524, 244) = 23
Disparity of Point  22548 =  (533, 244) = 23
Disparity of Point  22549 =  (533, 244) = 23
Disparity of Point  22556 =  (675, 244) = 23
Disparity of Point  22559 =  (683, 244) = 24
Disparity of Point  22560 =  (683, 244) = 24
Disparity of Point  22561 =  (686, 244) = 24
Disparity of Point  22564 =  (692, 244) = 25
Disparity of Point  22565 =  (710, 244) = 26
Disparity of Point  22566 =  (710, 244) = 26
Disparity of Point  22567 =  (711, 244) = 26
Disparity of Point  22568 =  (761, 244) = 29
Disparity of Point  22569 =  (761, 244) = 29
Disparity of Point  22576 =  (863, 244) = 26
Disparity of Point  22577 =  (864, 244) = 26
Disparity of Point  22578 =  (864, 244) = 26
Disparity of Point  22579 =  (865, 244) = 26
Disparity of Point  22580 =  (878, 244) = 26
Disparity of Point  22581 =  (878, 244) = 26
Disparity of Point  22582 =  (895, 244) = 27
Disparity of Point  22583 =  (895, 244) = 27
Disparity of Point  22606 =  (429, 245) = 23
Disparity of Point  22607 =  (459, 245) = 23
Disparity of Point  22608 =  (459, 245) = 23
Disparity of Point  22626 =  (550, 245) = 23
Disparity of Point  22627 =  (550, 245) = 23
Disparity of Point  22630 =  (552, 245) = 23
Disparity of Point  22631 =  (552, 245) = 23
Disparity of Point  22632 =  (554, 245) = 23
Disparity of Point  22633 =  (554, 245) = 23
Disparity of Point  22634 =  (555, 245) = 23
Disparity of Point  22635 =  (555, 245) = 23
Disparity of Point  22639 =  (676, 245) = 24
Disparity of Point  22640 =  (684, 245) = 24
Disparity of Point  22643 =  (700, 245) = 26
Disparity of Point  22644 =  (700, 245) = 26
Disparity of Point  22645 =  (703, 245) = 26
Disparity of Point  22646 =  (703, 245) = 26
Disparity of Point  22647 =  (710, 245) = 26
Disparity of Point  22648 =  (761, 245) = 29
Disparity of Point  22649 =  (761, 245) = 29
Disparity of Point  22657 =  (853, 245) = 26
Disparity of Point  22658 =  (853, 245) = 26
Disparity of Point  22661 =  (876, 245) = 27
Disparity of Point  22662 =  (876, 245) = 27
Disparity of Point  22663 =  (879, 245) = 27
Disparity of Point  22664 =  (902, 245) = 27
Disparity of Point  22665 =  (902, 245) = 27
Disparity of Point  22676 =  (1193, 245) = 32
Disparity of Point  22677 =  (1193, 245) = 32
Disparity of Point  22708 =  (427, 246) = 23
Disparity of Point  22709 =  (427, 246) = 23
Disparity of Point  22710 =  (428, 246) = 23
Disparity of Point  22711 =  (428, 246) = 23
Disparity of Point  22712 =  (608, 246) = 24
Disparity of Point  22713 =  (608, 246) = 24
Disparity of Point  22718 =  (676, 246) = 24
Disparity of Point  22722 =  (684, 246) = 24
Disparity of Point  22724 =  (692, 246) = 25
Disparity of Point  22727 =  (702, 246) = 26
Disparity of Point  22728 =  (702, 246) = 26
Disparity of Point  22729 =  (704, 246) = 26
Disparity of Point  22730 =  (704, 246) = 26
Disparity of Point  22731 =  (711, 246) = 26
Disparity of Point  22732 =  (761, 246) = 29
Disparity of Point  22733 =  (761, 246) = 29
Disparity of Point  22741 =  (878, 246) = 27
Disparity of Point  22744 =  (881, 246) = 27
Disparity of Point  22747 =  (899, 246) = 27
Disparity of Point  22748 =  (899, 246) = 27
Disparity of Point  22749 =  (899, 246) = 27
Disparity of Point  22750 =  (900, 246) = 27
Disparity of Point  22751 =  (900, 246) = 27
Disparity of Point  22753 =  (1203, 246) = 32
Disparity of Point  22754 =  (1203, 246) = 32
Disparity of Point  22773 =  (435, 247) = 24
Disparity of Point  22774 =  (435, 247) = 24
Disparity of Point  22777 =  (515, 247) = 24
Disparity of Point  22778 =  (516, 247) = 24
Disparity of Point  22779 =  (516, 247) = 24
Disparity of Point  22780 =  (517, 247) = 24
Disparity of Point  22781 =  (517, 247) = 24
Disparity of Point  22782 =  (533, 247) = 24
Disparity of Point  22784 =  (609, 247) = 24
Disparity of Point  22793 =  (687, 247) = 25
Disparity of Point  22794 =  (687, 247) = 25
Disparity of Point  22795 =  (697, 247) = 26
Disparity of Point  22796 =  (697, 247) = 26
Disparity of Point  22797 =  (702, 247) = 26
Disparity of Point  22798 =  (702, 247) = 26
Disparity of Point  22799 =  (704, 247) = 26
Disparity of Point  22800 =  (704, 247) = 26
Disparity of Point  22838 =  (399, 248) = 24
Disparity of Point  22839 =  (399, 248) = 24
Disparity of Point  22841 =  (413, 248) = 24
Disparity of Point  22843 =  (433, 248) = 24
Disparity of Point  22846 =  (486, 248) = 24
Disparity of Point  22847 =  (487, 248) = 24
Disparity of Point  22848 =  (519, 248) = 24
Disparity of Point  22849 =  (519, 248) = 24
Disparity of Point  22850 =  (519, 248) = 24
Disparity of Point  22851 =  (520, 248) = 24
Disparity of Point  22852 =  (520, 248) = 24
Disparity of Point  22853 =  (529, 248) = 24
Disparity of Point  22854 =  (529, 248) = 24
Disparity of Point  22855 =  (532, 248) = 24
Disparity of Point  22856 =  (532, 248) = 24
Disparity of Point  22860 =  (687, 248) = 25
Disparity of Point  22861 =  (688, 248) = 25
Disparity of Point  22862 =  (697, 248) = 26
Disparity of Point  22863 =  (698, 248) = 26
Disparity of Point  22864 =  (702, 248) = 26
Disparity of Point  22865 =  (702, 248) = 26
Disparity of Point  22866 =  (704, 248) = 26
Disparity of Point  22867 =  (705, 248) = 26
Disparity of Point  22878 =  (878, 248) = 27
Disparity of Point  22879 =  (879, 248) = 27
Disparity of Point  22880 =  (879, 248) = 27
Disparity of Point  22881 =  (880, 248) = 27
Disparity of Point  22886 =  (342, 249) = 24
Disparity of Point  22887 =  (342, 249) = 24
Disparity of Point  22888 =  (343, 249) = 24
Disparity of Point  22889 =  (343, 249) = 24
Disparity of Point  22907 =  (527, 249) = 25
Disparity of Point  22910 =  (680, 249) = 25
Disparity of Point  22911 =  (680, 249) = 25
Disparity of Point  22912 =  (684, 249) = 25
Disparity of Point  22913 =  (684, 249) = 25
Disparity of Point  22914 =  (688, 249) = 25
Disparity of Point  22915 =  (699, 249) = 26
Disparity of Point  22916 =  (699, 249) = 26
Disparity of Point  22917 =  (700, 249) = 26
Disparity of Point  22918 =  (701, 249) = 26
Disparity of Point  22919 =  (701, 249) = 26
Disparity of Point  22922 =  (762, 249) = 29
Disparity of Point  22923 =  (762, 249) = 29
Disparity of Point  22931 =  (838, 249) = 27
Disparity of Point  22932 =  (838, 249) = 27
Disparity of Point  22935 =  (844, 249) = 27
Disparity of Point  22936 =  (844, 249) = 27
Disparity of Point  22939 =  (846, 249) = 27
Disparity of Point  22940 =  (846, 249) = 27
Disparity of Point  22941 =  (847, 249) = 27
Disparity of Point  22942 =  (847, 249) = 27
Disparity of Point  22943 =  (850, 249) = 27
Disparity of Point  22944 =  (850, 249) = 27
Disparity of Point  22949 =  (328, 250) = 25
Disparity of Point  22950 =  (328, 250) = 25
Disparity of Point  22951 =  (329, 250) = 25
Disparity of Point  22952 =  (329, 250) = 25
Disparity of Point  22955 =  (331, 250) = 25
Disparity of Point  22956 =  (331, 250) = 25
Disparity of Point  22995 =  (526, 250) = 25
Disparity of Point  22996 =  (526, 250) = 25
Disparity of Point  22997 =  (527, 250) = 25
Disparity of Point  23004 =  (685, 250) = 26
Disparity of Point  23005 =  (685, 250) = 26
Disparity of Point  23008 =  (700, 250) = 26
Disparity of Point  23012 =  (762, 250) = 29
Disparity of Point  23013 =  (762, 250) = 29
Disparity of Point  23023 =  (840, 250) = 27
Disparity of Point  23024 =  (840, 250) = 27
Disparity of Point  23027 =  (300, 251) = 25
Disparity of Point  23028 =  (300, 251) = 25
Disparity of Point  23031 =  (347, 251) = 25
Disparity of Point  23047 =  (383, 251) = 25
Disparity of Point  23048 =  (383, 251) = 25
Disparity of Point  23050 =  (390, 251) = 25
Disparity of Point  23051 =  (390, 251) = 25
Disparity of Point  23060 =  (503, 251) = 25
Disparity of Point  23061 =  (503, 251) = 25
Disparity of Point  23062 =  (517, 251) = 25
Disparity of Point  23063 =  (517, 251) = 25
Disparity of Point  23064 =  (525, 251) = 25
Disparity of Point  23069 =  (686, 251) = 26
Disparity of Point  23070 =  (686, 251) = 26
Disparity of Point  23072 =  (690, 251) = 26
Disparity of Point  23073 =  (690, 251) = 26
Disparity of Point  23074 =  (691, 251) = 26
Disparity of Point  23075 =  (691, 251) = 26
Disparity of Point  23076 =  (692, 251) = 26
Disparity of Point  23077 =  (692, 251) = 26
Disparity of Point  23078 =  (693, 251) = 26
Disparity of Point  23081 =  (762, 251) = 29
Disparity of Point  23082 =  (762, 251) = 29
Disparity of Point  23085 =  (850, 251) = 28
Disparity of Point  23086 =  (852, 251) = 28
Disparity of Point  23087 =  (852, 251) = 28
Disparity of Point  23088 =  (854, 251) = 28
Disparity of Point  23091 =  (358, 252) = 25
Disparity of Point  23092 =  (359, 252) = 25
Disparity of Point  23093 =  (359, 252) = 25
Disparity of Point  23094 =  (360, 252) = 25
Disparity of Point  23113 =  (449, 252) = 25
Disparity of Point  23114 =  (449, 252) = 25
Disparity of Point  23115 =  (450, 252) = 25
Disparity of Point  23116 =  (450, 252) = 25
Disparity of Point  23119 =  (503, 252) = 25
Disparity of Point  23120 =  (524, 252) = 25
Disparity of Point  23122 =  (531, 252) = 25
Disparity of Point  23126 =  (683, 252) = 26
Disparity of Point  23127 =  (684, 252) = 26
Disparity of Point  23129 =  (694, 252) = 27
Disparity of Point  23130 =  (698, 252) = 27
Disparity of Point  23131 =  (702, 252) = 27
Disparity of Point  23132 =  (702, 252) = 27
Disparity of Point  23133 =  (704, 252) = 27
Disparity of Point  23134 =  (704, 252) = 27
Disparity of Point  23135 =  (708, 252) = 27
Disparity of Point  23136 =  (708, 252) = 27
Disparity of Point  23137 =  (709, 252) = 27
Disparity of Point  23138 =  (709, 252) = 27
Disparity of Point  23139 =  (710, 252) = 27
Disparity of Point  23140 =  (710, 252) = 27
Disparity of Point  23141 =  (717, 252) = 27
Disparity of Point  23142 =  (717, 252) = 27
Disparity of Point  23143 =  (718, 252) = 27
Disparity of Point  23144 =  (718, 252) = 27
Disparity of Point  23147 =  (762, 252) = 29
Disparity of Point  23148 =  (762, 252) = 29
Disparity of Point  23150 =  (851, 252) = 28
Disparity of Point  23151 =  (851, 252) = 28
Disparity of Point  23152 =  (853, 252) = 28
Disparity of Point  23153 =  (853, 252) = 28
Disparity of Point  23155 =  (919, 252) = 29
Disparity of Point  23156 =  (919, 252) = 29
Disparity of Point  23157 =  (920, 252) = 29
Disparity of Point  23179 =  (378, 253) = 25
Disparity of Point  23180 =  (378, 253) = 25
Disparity of Point  23181 =  (383, 253) = 25
Disparity of Point  23182 =  (383, 253) = 25
Disparity of Point  23186 =  (416, 253) = 26
Disparity of Point  23187 =  (416, 253) = 26
Disparity of Point  23202 =  (479, 253) = 26
Disparity of Point  23203 =  (479, 253) = 26
Disparity of Point  23206 =  (503, 253) = 26
Disparity of Point  23207 =  (503, 253) = 26
Disparity of Point  23211 =  (531, 253) = 26
Disparity of Point  23213 =  (674, 253) = 26
Disparity of Point  23214 =  (674, 253) = 26
Disparity of Point  23215 =  (676, 253) = 26
Disparity of Point  23216 =  (676, 253) = 26
Disparity of Point  23217 =  (685, 253) = 26
Disparity of Point  23223 =  (763, 253) = 29
Disparity of Point  23224 =  (764, 253) = 29
Disparity of Point  23225 =  (764, 253) = 29
Disparity of Point  23228 =  (766, 253) = 30
Disparity of Point  23231 =  (852, 253) = 28
Disparity of Point  23232 =  (852, 253) = 28
Disparity of Point  23233 =  (853, 253) = 28
Disparity of Point  23234 =  (920, 253) = 29
Disparity of Point  23235 =  (920, 253) = 29
Disparity of Point  23241 =  (351, 254) = 26
Disparity of Point  23242 =  (351, 254) = 26
Disparity of Point  23243 =  (362, 254) = 26
Disparity of Point  23244 =  (363, 254) = 26
Disparity of Point  23252 =  (374, 254) = 26
Disparity of Point  23253 =  (374, 254) = 26
Disparity of Point  23254 =  (375, 254) = 26
Disparity of Point  23255 =  (375, 254) = 26
Disparity of Point  23256 =  (406, 254) = 26
Disparity of Point  23257 =  (406, 254) = 26
Disparity of Point  23258 =  (407, 254) = 26
Disparity of Point  23260 =  (444, 254) = 26
Disparity of Point  23261 =  (445, 254) = 26
Disparity of Point  23262 =  (445, 254) = 26
Disparity of Point  23263 =  (447, 254) = 26
Disparity of Point  23264 =  (447, 254) = 26
Disparity of Point  23265 =  (448, 254) = 26
Disparity of Point  23266 =  (448, 254) = 26
Disparity of Point  23269 =  (478, 254) = 26
Disparity of Point  23270 =  (478, 254) = 26
Disparity of Point  23271 =  (501, 254) = 26
Disparity of Point  23272 =  (502, 254) = 26
Disparity of Point  23273 =  (502, 254) = 26
Disparity of Point  23274 =  (513, 254) = 26
Disparity of Point  23275 =  (513, 254) = 26
Disparity of Point  23276 =  (523, 254) = 26
Disparity of Point  23277 =  (523, 254) = 26
Disparity of Point  23278 =  (530, 254) = 26
Disparity of Point  23279 =  (530, 254) = 26
Disparity of Point  23280 =  (556, 254) = 26
Disparity of Point  23281 =  (556, 254) = 26
Disparity of Point  23282 =  (618, 254) = 26
Disparity of Point  23283 =  (618, 254) = 26
Disparity of Point  23292 =  (692, 254) = 27
Disparity of Point  23298 =  (763, 254) = 29
Disparity of Point  23328 =  (984, 254) = 31
Disparity of Point  23329 =  (984, 254) = 31
Disparity of Point  23370 =  (352, 255) = 26
Disparity of Point  23371 =  (353, 255) = 26
Disparity of Point  23373 =  (364, 255) = 26
Disparity of Point  23374 =  (364, 255) = 26
Disparity of Point  23377 =  (366, 255) = 26
Disparity of Point  23378 =  (366, 255) = 26
Disparity of Point  23396 =  (405, 255) = 26
Disparity of Point  23397 =  (434, 255) = 26
Disparity of Point  23398 =  (434, 255) = 26
Disparity of Point  23401 =  (477, 255) = 26
Disparity of Point  23402 =  (477, 255) = 26
Disparity of Point  23408 =  (523, 255) = 26
Disparity of Point  23425 =  (663, 255) = 27
Disparity of Point  23426 =  (663, 255) = 27
Disparity of Point  23436 =  (724, 255) = 28
Disparity of Point  23437 =  (724, 255) = 28
Disparity of Point  23458 =  (1000, 255) = 31
Disparity of Point  23459 =  (1000, 255) = 31
Disparity of Point  23460 =  (1001, 255) = 31
Disparity of Point  23461 =  (1001, 255) = 31
Disparity of Point  23462 =  (1002, 255) = 31
Disparity of Point  23463 =  (1002, 255) = 31
Disparity of Point  23476 =  (1032, 255) = 32
Disparity of Point  23477 =  (1032, 255) = 32
Disparity of Point  23497 =  (354, 256) = 27
Disparity of Point  23505 =  (375, 256) = 26
Disparity of Point  23506 =  (375, 256) = 26
Disparity of Point  23521 =  (478, 256) = 27
Disparity of Point  23522 =  (478, 256) = 27
Disparity of Point  23527 =  (521, 256) = 27
Disparity of Point  23531 =  (610, 256) = 27
Disparity of Point  23532 =  (610, 256) = 27
Disparity of Point  23533 =  (613, 256) = 27
Disparity of Point  23534 =  (613, 256) = 27
Disparity of Point  23545 =  (699, 256) = 28
Disparity of Point  23546 =  (699, 256) = 28
Disparity of Point  23549 =  (740, 256) = 28
Disparity of Point  23550 =  (740, 256) = 28
Disparity of Point  23551 =  (741, 256) = 28
Disparity of Point  23552 =  (741, 256) = 28
Disparity of Point  23553 =  (742, 256) = 28
Disparity of Point  23568 =  (1007, 256) = 32
Disparity of Point  23569 =  (1007, 256) = 32
Disparity of Point  23580 =  (1047, 256) = 32
Disparity of Point  23581 =  (1047, 256) = 32
Disparity of Point  23584 =  (1049, 256) = 32
Disparity of Point  23585 =  (1049, 256) = 32
Disparity of Point  23586 =  (1050, 256) = 32
Disparity of Point  23587 =  (1050, 256) = 32
Disparity of Point  23600 =  (354, 257) = 27
Disparity of Point  23610 =  (393, 257) = 27
Disparity of Point  23611 =  (394, 257) = 27
Disparity of Point  23612 =  (394, 257) = 27
Disparity of Point  23613 =  (395, 257) = 27
Disparity of Point  23614 =  (425, 257) = 27
Disparity of Point  23621 =  (512, 257) = 27
Disparity of Point  23630 =  (613, 257) = 27
Disparity of Point  23631 =  (613, 257) = 27
Disparity of Point  23635 =  (701, 257) = 28
Disparity of Point  23638 =  (738, 257) = 28
Disparity of Point  23639 =  (738, 257) = 28
Disparity of Point  23640 =  (744, 257) = 28
Disparity of Point  23641 =  (745, 257) = 28
Disparity of Point  23642 =  (746, 257) = 28
Disparity of Point  23643 =  (746, 257) = 28
Disparity of Point  23644 =  (747, 257) = 28
Disparity of Point  23645 =  (747, 257) = 28
Disparity of Point  23646 =  (748, 257) = 28
Disparity of Point  23647 =  (748, 257) = 28
Disparity of Point  23648 =  (749, 257) = 28
Disparity of Point  23649 =  (749, 257) = 28
Disparity of Point  23650 =  (750, 257) = 28
Disparity of Point  23651 =  (750, 257) = 28
Disparity of Point  23654 =  (755, 257) = 29
Disparity of Point  23655 =  (765, 257) = 29
Disparity of Point  23656 =  (765, 257) = 29
Disparity of Point  23657 =  (766, 257) = 29
Disparity of Point  23660 =  (848, 257) = 29
Disparity of Point  23661 =  (848, 257) = 29
Disparity of Point  23662 =  (849, 257) = 29
Disparity of Point  23663 =  (849, 257) = 29
Disparity of Point  23668 =  (947, 257) = 31
Disparity of Point  23669 =  (947, 257) = 31
Disparity of Point  23672 =  (950, 257) = 31
Disparity of Point  23673 =  (950, 257) = 31
Disparity of Point  23676 =  (953, 257) = 31
Disparity of Point  23677 =  (953, 257) = 31
Disparity of Point  23680 =  (955, 257) = 31
Disparity of Point  23681 =  (955, 257) = 31
Disparity of Point  23684 =  (957, 257) = 31
Disparity of Point  23685 =  (957, 257) = 31
Disparity of Point  23688 =  (959, 257) = 31
Disparity of Point  23689 =  (959, 257) = 31
Disparity of Point  23690 =  (960, 257) = 31
Disparity of Point  23691 =  (960, 257) = 31
Disparity of Point  23694 =  (962, 257) = 31
Disparity of Point  23695 =  (962, 257) = 31
Disparity of Point  23700 =  (969, 257) = 32
Disparity of Point  23701 =  (969, 257) = 32
Disparity of Point  23718 =  (1042, 257) = 33
Disparity of Point  23719 =  (1042, 257) = 33
Disparity of Point  23722 =  (1044, 257) = 33
Disparity of Point  23723 =  (1044, 257) = 33
Disparity of Point  23734 =  (1074, 257) = 33
Disparity of Point  23735 =  (1074, 257) = 33
Disparity of Point  23736 =  (1075, 257) = 33
Disparity of Point  23737 =  (1075, 257) = 33
Disparity of Point  23738 =  (1076, 257) = 33
Disparity of Point  23739 =  (1076, 257) = 33
Disparity of Point  23754 =  (1104, 257) = 34
Disparity of Point  23755 =  (1104, 257) = 34
Disparity of Point  23758 =  (1113, 257) = 34
Disparity of Point  23759 =  (1113, 257) = 34
Disparity of Point  23762 =  (1115, 257) = 34
Disparity of Point  23763 =  (1115, 257) = 34
Disparity of Point  23764 =  (1116, 257) = 34
Disparity of Point  23765 =  (1116, 257) = 34
Disparity of Point  23803 =  (310, 258) = 27
Disparity of Point  23804 =  (310, 258) = 27
Disparity of Point  23805 =  (320, 258) = 27
Disparity of Point  23806 =  (320, 258) = 27
Disparity of Point  23808 =  (343, 258) = 27
Disparity of Point  23809 =  (343, 258) = 27
Disparity of Point  23810 =  (344, 258) = 27
Disparity of Point  23811 =  (344, 258) = 27
Disparity of Point  23821 =  (370, 258) = 27
Disparity of Point  23822 =  (370, 258) = 27
Disparity of Point  23823 =  (371, 258) = 27
Disparity of Point  23824 =  (371, 258) = 27
Disparity of Point  23830 =  (403, 258) = 27
Disparity of Point  23831 =  (423, 258) = 27
Disparity of Point  23832 =  (423, 258) = 27
Disparity of Point  23833 =  (424, 258) = 27
Disparity of Point  23834 =  (424, 258) = 27
Disparity of Point  23835 =  (435, 258) = 27
Disparity of Point  23836 =  (435, 258) = 27
Disparity of Point  23837 =  (435, 258) = 27
Disparity of Point  23841 =  (518, 258) = 28
Disparity of Point  23842 =  (518, 258) = 28
Disparity of Point  23845 =  (527, 258) = 28
Disparity of Point  23846 =  (528, 258) = 28
Disparity of Point  23847 =  (588, 258) = 28
Disparity of Point  23848 =  (588, 258) = 28
Disparity of Point  23849 =  (589, 258) = 28
Disparity of Point  23851 =  (611, 258) = 28
Disparity of Point  23855 =  (691, 258) = 28
Disparity of Point  23856 =  (691, 258) = 28
Disparity of Point  23857 =  (692, 258) = 28
Disparity of Point  23858 =  (755, 258) = 29
Disparity of Point  23859 =  (755, 258) = 29
Disparity of Point  23864 =  (853, 258) = 30
Disparity of Point  23865 =  (853, 258) = 30
Disparity of Point  23872 =  (916, 258) = 31
Disparity of Point  23878 =  (1118, 258) = 34
Disparity of Point  23895 =  (319, 259) = 28
Disparity of Point  23896 =  (319, 259) = 28
Disparity of Point  23901 =  (366, 259) = 27
Disparity of Point  23902 =  (367, 259) = 27
Disparity of Point  23903 =  (367, 259) = 27
Disparity of Point  23904 =  (368, 259) = 27
Disparity of Point  23912 =  (519, 259) = 28
Disparity of Point  23913 =  (519, 259) = 28
Disparity of Point  23916 =  (527, 259) = 28
Disparity of Point  23917 =  (573, 259) = 28
Disparity of Point  23920 =  (611, 259) = 28
Disparity of Point  23921 =  (611, 259) = 28
Disparity of Point  23928 =  (682, 259) = 28
Disparity of Point  23929 =  (688, 259) = 28
Disparity of Point  23938 =  (757, 259) = 29
Disparity of Point  23939 =  (757, 259) = 29
Disparity of Point  23940 =  (758, 259) = 29
Disparity of Point  23941 =  (758, 259) = 29
Disparity of Point  23951 =  (859, 259) = 30
Disparity of Point  23952 =  (859, 259) = 30
Disparity of Point  23953 =  (860, 259) = 30
Disparity of Point  23954 =  (860, 259) = 30
Disparity of Point  23969 =  (919, 259) = 31
Disparity of Point  23970 =  (919, 259) = 31
Disparity of Point  23971 =  (920, 259) = 31
Disparity of Point  23972 =  (920, 259) = 31
Disparity of Point  23973 =  (921, 259) = 31
Disparity of Point  23974 =  (921, 259) = 31
Disparity of Point  23994 =  (1148, 259) = 35
Disparity of Point  23995 =  (1148, 259) = 35
Disparity of Point  23998 =  (1151, 259) = 35
Disparity of Point  23999 =  (1151, 259) = 35
Disparity of Point  24000 =  (1152, 259) = 35
Disparity of Point  24001 =  (1152, 259) = 35
Disparity of Point  24002 =  (1153, 259) = 35
Disparity of Point  24003 =  (1153, 259) = 35
Disparity of Point  24033 =  (428, 260) = 28
Disparity of Point  24034 =  (436, 260) = 28
Disparity of Point  24035 =  (436, 260) = 28
Disparity of Point  24038 =  (478, 260) = 28
Disparity of Point  24041 =  (497, 260) = 28
Disparity of Point  24042 =  (497, 260) = 28
Disparity of Point  24046 =  (519, 260) = 28
Disparity of Point  24048 =  (526, 260) = 28
Disparity of Point  24049 =  (567, 260) = 28
Disparity of Point  24050 =  (567, 260) = 28
Disparity of Point  24053 =  (586, 260) = 28
Disparity of Point  24054 =  (586, 260) = 28
Disparity of Point  24058 =  (611, 260) = 28
Disparity of Point  24059 =  (611, 260) = 28
Disparity of Point  24060 =  (614, 260) = 28
Disparity of Point  24061 =  (614, 260) = 28
Disparity of Point  24062 =  (684, 260) = 28
Disparity of Point  24063 =  (684, 260) = 28
Disparity of Point  24064 =  (685, 260) = 28
Disparity of Point  24065 =  (685, 260) = 28
Disparity of Point  24066 =  (686, 260) = 28
Disparity of Point  24067 =  (686, 260) = 28
Disparity of Point  24068 =  (697, 260) = 29
Disparity of Point  24069 =  (697, 260) = 29
Disparity of Point  24070 =  (703, 260) = 29
Disparity of Point  24071 =  (703, 260) = 29
Disparity of Point  24076 =  (773, 260) = 30
Disparity of Point  24077 =  (773, 260) = 30
Disparity of Point  24092 =  (911, 260) = 31
Disparity of Point  24093 =  (911, 260) = 31
Disparity of Point  24094 =  (912, 260) = 31
Disparity of Point  24095 =  (912, 260) = 31
Disparity of Point  24098 =  (914, 260) = 31
Disparity of Point  24099 =  (914, 260) = 31
Disparity of Point  24100 =  (915, 260) = 31
Disparity of Point  24101 =  (915, 260) = 31
Disparity of Point  24112 =  (953, 260) = 32
Disparity of Point  24113 =  (953, 260) = 32
Disparity of Point  24122 =  (958, 260) = 32
Disparity of Point  24123 =  (958, 260) = 32
Disparity of Point  24124 =  (959, 260) = 32
Disparity of Point  24125 =  (959, 260) = 32
Disparity of Point  24126 =  (960, 260) = 32
Disparity of Point  24127 =  (960, 260) = 32
Disparity of Point  24130 =  (962, 260) = 32
Disparity of Point  24131 =  (962, 260) = 32
Disparity of Point  24133 =  (995, 260) = 33
Disparity of Point  24144 =  (1155, 260) = 35
